datetime,ghi (w/m2),dni (w/m2),dhi (w/m2),wet bulb temp (c),dew point temp (c),energy (kwh),month_sin,month_cos,rolling_mean
1990-01,172981.0,145849.5,74035.0,5901.01375,4745.8,137058.993591,0.5,0.866025,137058.993591
1990-02,155488.0,158898.0,55075.5,5688.21212,4928.25,150066.089347,0.866025,0.5,143562.541469
1990-03,139421.0,140472.5,57015.0,5967.798815,5085.6,132721.066151,1.0,0.0,139948.716363
1990-04,119869.5,128504.0,52708.5,5326.82275,4515.7,121299.871796,0.866025,-0.5,135286.505221
1990-05,97552.0,98311.5,51020.5,5203.394365,4492.95,94399.582038,0.5,-0.866025,124621.652333
1990-06,104346.0,136066.5,39921.5,4354.458355,3498.0,131950.966,0.0,-1.0,120092.871496
1990-07,117468.5,147377.0,48126.0,4252.06679,3398.1,137995.846228,-0.5,-0.866025,121411.566516
1990-08,129951.0,135787.0,57422.5,4466.373115,3581.3,131431.26202,-0.866025,-0.5,123944.414072
1990-09,137592.5,132669.5,61650.0,4771.03054,4001.15,128996.623805,-1.0,-0.0,132593.674513
1990-10,145063.0,117591.0,71498.5,4743.020845,3983.7,111507.735187,-0.866025,0.5,127482.86681
1990-11,181360.0,179931.5,61772.5,5150.84467,4120.7,171337.066513,-0.5,0.866025,135818.171881
1990-12,188935.5,174643.0,70537.0,5871.73963,4861.55,152201.535564,-0.0,1.0,141010.740267
1991-01,184418.0,171466.0,70588.0,6043.164545,4835.45,162950.206985,0.5,0.866025,149499.136062
1991-02,145017.0,151982.5,51584.5,5251.13089,4016.4,144895.32077,0.866025,0.5,157846.032458
1991-03,151141.5,157345.0,55765.5,5777.598425,4708.0,151125.895346,1.0,0.0,152793.239666
1991-04,118822.5,129232.0,56272.0,5610.050385,4525.1,124750.297691,0.866025,-0.5,145930.430198
1991-05,108236.0,129824.0,47341.0,5134.787985,4215.05,125551.796477,0.5,-0.866025,136580.827571
1991-06,102829.5,111458.5,48181.5,4721.86836,3981.3,105934.783793,0.0,-1.0,126840.693327
1991-07,114037.5,138892.0,48452.0,4763.77287,3986.1,133335.532725,-0.5,-0.866025,122393.102672
1991-08,125446.5,140124.5,52446.0,4554.065125,3562.3,135566.868098,-0.866025,-0.5,125097.245273
1991-09,130766.5,119231.0,61584.5,4644.804085,3718.3,116895.317876,-1.0,-0.0,122933.125623
1991-10,164115.5,157784.5,64836.5,5067.52756,4029.65,153385.644885,-0.866025,0.5,134795.840896
1991-11,180412.0,184214.0,61170.0,5288.801465,4194.6,178438.811746,-0.5,0.866025,146071.660651
1991-12,197340.0,197034.0,63231.5,6040.061655,4903.1,178473.264838,-0.0,1.0,156798.259837
1992-01,188854.0,181566.5,68018.0,6131.23034,5009.6,172425.358199,0.5,0.866025,170680.769917
1992-02,144323.0,127467.5,64912.0,5436.666775,4263.55,120803.923314,0.866025,0.5,162535.339525
1992-03,124862.0,114733.0,62837.0,5789.220275,4760.2,109405.014805,1.0,0.0,145276.890289
1992-04,137718.5,175158.5,49242.0,5229.065245,3991.7,169447.207761,0.866025,-0.5,143020.37602
1992-05,107359.0,126222.0,42174.5,5048.104645,4189.05,124371.10635,0.5,-0.866025,131006.813058
1992-06,109006.0,145658.0,42793.5,4703.361265,3856.3,142651.923386,0.0,-1.0,136468.813075
1992-07,108792.0,139577.0,46273.0,4833.119345,3976.35,135393.736691,-0.5,-0.866025,142965.993547
1992-08,121220.5,119141.0,60900.5,4477.799095,3661.6,112728.96409,-0.866025,-0.5,128786.432629
1992-09,126285.5,100828.5,70294.0,4316.37859,3432.65,97618.3536,-1.0,-0.0,122098.244442
1992-10,146852.0,134532.0,65352.5,4922.4998,4039.45,131147.213371,-0.866025,0.5,119222.066938
1992-11,163146.5,154915.5,60534.0,5022.696445,4159.15,150104.198491,-0.5,0.866025,122899.682388
1992-12,201100.5,204006.0,61600.0,5731.724645,4633.25,183364.102354,-0.0,1.0,140558.466954
1993-01,187361.0,193244.0,54065.0,5759.114475,4493.55,186853.593659,0.5,0.866025,162867.276969
1993-02,153351.0,165521.0,50140.5,4939.169025,3748.05,160264.188093,0.866025,0.5,170146.520649
1993-03,138701.5,137417.5,60025.0,5357.341735,4278.4,131975.294908,1.0,0.0,165614.294753
1993-04,117355.5,126607.5,54504.0,5252.37757,4304.0,121808.03075,0.866025,-0.5,150225.276852
1993-05,106721.5,132426.0,47045.0,5069.016985,4237.5,129946.332034,0.5,-0.866025,135998.461446
1993-06,101185.5,122015.5,45537.0,4464.24141,3727.75,117751.522991,0.0,-1.0,125370.295171
1993-07,113861.0,137599.5,49152.0,4287.051445,3331.7,129702.83916,-0.5,-0.866025,124802.181234
1993-08,120772.0,119410.0,59354.0,4504.07433,3487.25,114698.464859,-0.866025,-0.5,123024.789761
1993-09,136717.5,142973.0,55900.0,4553.44184,3549.2,141687.355061,-1.0,-0.0,125960.045518
1993-10,146777.0,120336.5,75561.5,4665.622815,3694.55,114060.88461,-0.866025,0.5,125037.385922
1993-11,171400.0,150717.0,69884.5,5237.74472,4259.2,144289.169849,-0.5,0.866025,128683.968595
1993-12,195511.5,188849.0,64781.5,5429.247795,3973.8,169177.927733,-0.0,1.0,142303.834313
1994-01,203163.0,204739.5,64099.0,5721.125945,4283.05,194311.002202,0.5,0.866025,155459.746098
1994-02,144104.0,127756.5,64066.5,4954.39599,3713.45,119898.515365,0.866025,0.5,156919.153787
1994-03,143632.5,151346.5,58268.0,5976.7893,4829.3,145615.851705,1.0,0.0,157250.824251
1994-04,124006.0,137115.0,53353.5,5643.774815,4525.2,132557.818572,0.866025,-0.5,148095.796961
1994-05,113739.0,135776.5,46898.5,5101.10206,4139.9,129889.020813,0.5,-0.866025,131990.301614
1994-06,108223.5,148863.0,38246.0,4548.710845,3487.9,147704.429203,0.0,-1.0,138941.780073
1994-07,124304.5,170352.0,43789.5,4563.57612,3529.05,165963.695088,-0.5,-0.866025,144028.740919
1994-08,138963.5,149133.0,54032.5,4877.499415,3734.25,147091.385904,-0.866025,-0.5,147662.132752
1994-09,133589.0,118825.0,65049.0,4650.87771,3513.45,114607.873301,-1.0,-0.0,143841.845874
1994-10,157458.0,158289.0,64963.5,4703.82109,3651.05,154715.016531,-0.866025,0.5,145594.492706
1994-11,165458.5,148935.5,68023.0,5151.30789,3967.0,141825.562583,-0.5,0.866025,139559.95958
1994-12,205488.5,214289.5,60903.0,5715.038355,4118.55,195052.603445,-0.0,1.0,151550.263965
1995-01,166312.5,146973.0,73356.5,5880.66713,4702.45,137614.031267,0.5,0.866025,157301.803456
1995-02,146780.5,138048.5,58913.5,5357.36814,4241.25,129346.536531,0.866025,0.5,150959.683456
1995-03,134944.5,126303.0,61686.5,5811.81643,4663.9,119698.966396,1.0,0.0,145428.03441
1995-04,116628.5,132865.0,52882.0,4789.210075,3611.55,129693.484335,0.866025,-0.5,129088.254632
1995-05,106051.0,132863.0,44755.0,4646.17194,3441.65,128268.0503,0.5,-0.866025,126751.759391
1995-06,107597.5,141369.5,42199.0,4396.57564,3470.65,138127.368255,0.0,-1.0,128946.967322
1995-07,108495.0,134857.0,46716.5,4432.072855,3446.4,128469.552164,-0.5,-0.866025,131139.613764
1995-08,127649.5,146717.5,52836.5,4579.93628,3436.1,142891.530766,-0.866025,-0.5,134439.125371
1995-09,125449.0,100800.5,66403.0,4356.870495,3291.7,96532.907045,-1.0,-0.0,126505.339558
1995-10,149654.5,132782.0,65338.0,5025.24711,3819.95,127730.333299,-0.866025,0.5,123906.080819
1995-11,187412.5,191480.5,60327.0,5024.76159,3746.45,183554.786001,-0.5,0.866025,137677.389278
1995-12,152346.0,104562.5,81960.0,5796.15546,4886.5,93528.459043,-0.0,1.0,125336.621347
1996-01,180965.0,158305.5,75092.0,5543.910935,4335.75,151180.197354,0.5,0.866025,138998.443924
1996-02,138849.5,124911.5,60565.0,5339.3129,4332.45,119149.944977,0.866025,0.5,136853.346844
1996-03,139225.5,131236.5,62671.0,5319.536125,4018.65,125040.010572,1.0,0.0,122224.652986
1996-04,121917.5,137796.0,54665.5,5220.651385,4079.25,134887.97599,0.866025,-0.5,132564.532223
1996-05,113926.5,153257.0,43142.5,4651.995535,3183.55,151067.323875,0.5,-0.866025,132536.313853
1996-06,100122.5,109972.0,49187.0,4416.596945,3505.8,104920.283396,0.0,-1.0,128978.898458
1996-07,108431.0,118054.0,49001.0,4597.964795,3599.0,111900.210057,-0.5,-0.866025,125693.94833
1996-08,134078.5,155479.0,53863.0,4609.87358,3421.9,149481.006033,-0.866025,-0.5,129342.20584
1996-09,135698.5,130656.0,61248.0,4549.246695,3330.7,126353.064045,-1.0,-0.0,123163.640883
1996-10,144814.0,130611.0,64259.5,4981.37544,3875.1,129426.120077,-0.866025,0.5,129290.100053
1996-11,176123.0,166558.0,70403.5,5200.73136,3942.9,162779.391901,-0.5,0.866025,142009.895514
1996-12,173085.5,144966.5,77785.5,5328.36297,3953.45,131378.962442,-0.0,1.0,137484.384616
1997-01,195852.5,189902.5,67212.5,5682.193995,4297.35,181561.1534,0.5,0.866025,151286.406955
1997-02,134386.5,105539.5,66567.0,5600.95789,4672.5,99703.556514,0.866025,0.5,143855.766064
1997-03,128340.5,98106.5,70164.0,5653.28505,4584.3,92652.365877,1.0,0.0,126324.009558
1997-04,114425.0,107010.5,59954.5,5483.09132,4588.4,101846.075718,0.866025,-0.5,118940.787877
1997-05,101037.5,102161.0,53403.0,5133.8568,4188.6,95681.320339,0.5,-0.866025,97470.829612
1997-06,102486.5,118957.0,44097.0,4595.26892,3569.95,113275.832683,0.0,-1.0,100863.898654
1997-07,113091.5,146511.5,48376.5,4292.59865,3030.3,143446.68802,-0.5,-0.866025,113562.47919
1997-08,131501.5,138340.0,56703.5,4586.4444,3517.55,129499.256323,-0.866025,-0.5,120475.774341
1997-09,150435.0,148517.0,58118.0,4934.80886,3938.0,143593.496516,-1.0,-0.0,132453.818385
1997-10,166770.5,170294.0,59939.5,4780.924925,3542.55,164876.395779,-0.866025,0.5,145353.959159
1997-11,169047.0,148653.0,72662.5,5256.396055,4056.85,142366.9273,-0.5,0.866025,145084.018979
1997-12,196471.5,193522.0,63611.0,5665.398565,4377.25,173733.919367,-0.0,1.0,156142.68474
1998-01,206657.5,216551.5,61345.0,5721.98942,4336.7,205728.482887,0.5,0.866025,171676.431333
1998-02,165887.5,176083.0,51841.5,5200.62981,3948.0,168197.073661,0.866025,0.5,172506.600804
1998-03,151633.0,159348.0,59258.0,5767.834905,4606.55,152690.13931,1.0,0.0,175087.403806
1998-04,110862.0,94318.0,60133.0,5278.691915,4361.3,87486.567787,0.866025,-0.5,153525.565911
1998-05,108889.0,118018.5,50267.0,5109.349935,4121.0,111731.392149,0.5,-0.866025,130026.293227
1998-06,98273.0,103403.0,45958.5,4220.54931,3149.8,97811.681732,0.0,-1.0,112429.945245
1998-07,114103.5,135293.0,44966.0,4415.75753,3257.5,129944.365927,-0.5,-0.866025,106743.501899
1998-08,118219.0,121326.5,53969.0,5103.715275,4179.45,116198.235547,-0.866025,-0.5,113921.418839
1998-09,138176.0,138541.5,54068.0,4655.76209,3518.4,134010.549812,-1.0,-0.0,119491.208255
1998-10,145001.5,130764.5,62377.5,4949.49632,3986.5,127109.521475,-0.866025,0.5,126815.66819
1998-11,151525.5,118406.5,74739.5,5258.907675,4302.5,113045.843502,-0.5,0.866025,122591.037584
1998-12,188357.0,161169.5,76100.5,5567.623415,4315.25,144362.043679,-0.0,1.0,129631.989617
1999-01,168359.0,152181.5,66910.5,6072.617305,4915.9,145392.39932,0.5,0.866025,132477.451994
1999-02,149883.0,142142.0,59175.5,5389.290775,4292.4,136066.720129,0.866025,0.5,134716.751658
1999-03,122295.5,83556.5,71150.0,5950.16178,4968.25,77593.913482,1.0,0.0,125853.769153
1999-04,123759.5,132017.5,55895.5,5599.584905,4397.05,126131.607135,0.866025,-0.5,121296.160017
1999-05,91934.5,92190.0,51577.5,5332.60003,4422.2,88288.983459,0.5,-0.866025,107020.306052
1999-06,92789.0,91735.0,50747.5,4531.81802,3646.1,87087.394419,0.0,-1.0,94775.474624
1999-07,107343.0,116715.5,52647.5,4594.766505,3510.6,110889.840243,-0.5,-0.866025,103099.456314
1999-08,120183.5,113216.5,62274.5,4759.055305,3554.35,108235.812527,-0.866025,-0.5,98625.507662
1999-09,130714.0,116347.0,61472.5,4602.75488,3517.85,114295.765899,-1.0,-0.0,105127.203272
1999-10,153693.5,129823.5,71277.5,4604.77895,3353.4,123747.854009,-0.866025,0.5,114292.318169
1999-11,172412.5,154552.5,67667.0,5297.451245,4148.2,147436.942619,-0.5,0.866025,123429.093763
1999-12,176857.5,142435.5,79547.5,5864.48896,4649.9,125296.322654,-0.0,1.0,127694.221295
2000-01,177754.0,163998.0,72002.0,6022.711955,4850.9,155187.849786,0.5,0.866025,137917.242267
2000-02,146898.0,128369.5,61367.5,5319.029025,4229.15,121731.968809,0.866025,0.5,137413.270967
2000-03,148223.0,149172.0,62463.5,5613.96256,4495.35,144088.632502,1.0,0.0,136576.193438
2000-04,117988.5,119875.0,57734.0,5275.46343,4194.35,113664.56978,0.866025,-0.5,133668.255219
2000-05,109338.0,116298.0,47787.0,4903.906735,3672.95,109975.082727,0.5,-0.866025,122365.063454
2000-06,105760.0,122829.0,47181.5,4576.18415,3512.05,117720.166679,0.0,-1.0,121362.112922
2000-07,118451.5,136169.0,50137.5,4455.54258,3238.5,129482.181472,-0.5,-0.866025,117710.500164
2000-08,113530.0,100609.5,63000.5,4589.913495,3563.85,93304.992868,-0.866025,-0.5,112620.605936
2000-09,129660.0,106531.5,67895.5,4860.68985,3834.4,103451.61238,-1.0,-0.0,110989.73835
2000-10,159810.0,145900.0,64364.5,4931.55698,3587.1,141248.768038,-0.866025,0.5,116871.88869
2000-11,171996.5,159249.0,67468.5,5517.877585,4297.45,154044.719861,-0.5,0.866025,123012.523287
2000-12,201328.5,193476.0,70197.0,5769.136225,4386.55,172375.896547,-0.0,1.0,142780.249206
2001-01,175450.5,142536.0,77984.0,5804.88572,4538.7,131909.433579,0.5,0.866025,149894.704506
2001-02,142892.0,124891.5,61036.0,5261.03934,3996.75,118160.335282,0.866025,0.5,144122.596317
2001-03,135387.0,118432.0,64839.5,5342.114635,4204.5,113742.961465,1.0,0.0,134047.156718
2001-04,123161.0,124002.0,55878.5,5190.73234,3871.1,118512.566704,0.866025,-0.5,120581.324257
2001-05,108645.5,109875.5,50655.5,5214.384495,4206.35,104607.595198,0.5,-0.866025,113755.864662
2001-06,89798.0,76426.5,52306.0,4912.961825,3936.15,71089.911933,0.0,-1.0,101988.258825
2001-07,96266.5,90575.0,51391.5,4558.88498,3458.3,95013.045911,-0.5,-0.866025,97305.779937
2001-08,109304.5,82772.0,64062.5,4648.79712,3743.4,75093.842132,-0.866025,-0.5,86451.098794
2001-09,123750.0,89971.5,67408.0,4635.52185,3676.95,86247.518288,-1.0,-0.0,81861.079566
2001-10,153777.0,129242.5,70549.5,4563.554945,3539.2,126371.869971,-0.866025,0.5,95681.569076
2001-11,152266.0,124159.0,70695.5,5102.01264,4085.8,120069.228399,-0.5,0.866025,101945.614698
2001-12,181732.5,148173.5,81009.5,5307.385195,4122.75,133702.43292,-0.0,1.0,116597.762395
2002-01,178633.0,150044.5,76968.0,5589.58971,4332.8,141670.584096,0.5,0.866025,130453.528847
2002-02,124018.5,88660.0,70042.5,4828.411815,3581.1,84756.12707,0.866025,0.5,120049.593121
2002-03,137066.5,123720.5,65601.5,5811.60261,4573.05,120554.120295,1.0,0.0,120170.816095
2002-04,114006.5,103831.0,59140.5,5513.087765,4600.1,97603.445713,0.866025,-0.5,111146.069293
2002-05,113842.5,140337.5,45069.0,5010.74695,3988.15,136132.599299,0.5,-0.866025,109761.573094
